#wxSand: Owen Piette's Falling Sand Game									
#Version 4.4, File subversion 2									
#element element r g b gravity slip density conductivity visible									
#self probabilityOfChanging element [probabilityOfChangingIntoThisElement element] [...]									
#hotself tempAtWhichThisElementSelfProbabilityStartsToIncreaseTo100 element									
#hotcolor element r g b									
#neighbor probabilityOfReacting element1 element2 [probabilityOfChangingIntoTheseElements element1 element2] [...]									
#hotneighbor tempAtWhichThisElementSelfProbabilityStartsToIncreaseTo100 element1 element2									
#explosion neighbor1 neighbor2 xspeed&lt;255 yspeed&lt;255									
#pexplosion neighbor1 neighbor2 diameter element									
									
group	Offense	fighter	Bomber	laser	Bomb	Ionbomb	Ionbomber		
neighbor	0.5	S1	S5	1	S1	S2			
neighbor	0.5	S1	S6	1	S1	S2			
neighbor	0.5	S1	S7	1	S1	S2			
neighbor	0.5	S1	S8	1	S1	S2			
neighbor	0.5	S1	S9	1	S1	S2			
neighbor	0.5	S1	S10	1	S1	S2			
neighbor	0.5	S1	S11	1	S1	S2			
neighbor	0.5	S1	S12	1	S1	S2			
neighbor	0.5	S1	S13	1	S1	S2			
neighbor	0.5	S1	S14	1	S1	S2			
neighbor	0.5	S1	S15	1	S1	S2			
neighbor	0.5	S1	S16	1	S1	S2			
neighbor	0.5	S1	S17	1	S1	S2			
neighbor	0.5	S1	S18	1	S1	S2			
neighbor	0.5	S1	S19	1	S1	S2			
neighbor	0.5	S1	S20	1	S1	S2			
neighbor	0.5	S1	S21	1	S1	S2			
neighbor	0.5	S1	S22	1	S1	S2			
neighbor	0.5	S1	S23	1	S1	S2			
neighbor	0.5	S1	S24	1	S1	S2			
neighbor	0.5	S1	S25	1	S1	S2			
neighbor	0.5	S1	S26	1	S1	S2			
neighbor	0.5	S1	S27	1	S1	S2			
neighbor	0.5	S1	S28	1	S1	S2			
neighbor	0.5	S1	S29	1	S1	S2			
neighbor	0.5	S1	S30	1	S1	S2			
neighbor	0.5	S2	S4	1	S2	S3			
neighbor	0.5	S2	S5	1	S2	S3			
neighbor	0.5	S2	S6	1	S2	S3			
neighbor	0.5	S2	S7	1	S2	S3			
neighbor	0.5	S2	S8	1	S2	S3			
neighbor	0.5	S2	S9	1	S2	S3			
neighbor	0.5	S2	S10	1	S2	S3			
neighbor	0.5	S2	S11	1	S2	S3			
neighbor	0.5	S2	S12	1	S2	S3			
neighbor	0.5	S2	S13	1	S2	S3			
neighbor	0.5	S2	S14	1	S2	S3			
neighbor	0.5	S2	S15	1	S2	S3			
neighbor	0.5	S2	S16	1	S2	S3			
neighbor	0.5	S2	S17	1	S2	S3			
neighbor	0.5	S2	S18	1	S2	S3			
neighbor	0.5	S2	S19	1	S2	S3			
neighbor	0.5	S2	S20	1	S2	S3			
neighbor	0.5	S2	S21	1	S2	S3			
neighbor	0.5	S2	S22	1	S2	S3			
neighbor	0.5	S2	S23	1	S2	S3			
neighbor	0.5	S2	S24	1	S2	S3			
neighbor	0.5	S2	S25	1	S2	S3			
neighbor	0.5	S2	S26	1	S2	S3			
neighbor	0.5	S2	S27	1	S2	S3			
neighbor	0.5	S2	S28	1	S2	S3			
neighbor	0.5	S2	S29	1	S2	S3			
neighbor	0.5	S2	S30	1	S2	S3			
neighbor	0.5	S3	S5	1	S3	S4			
neighbor	0.5	S3	S6	1	S3	S4			
neighbor	0.5	S3	S7	1	S3	S4			
neighbor	0.5	S3	S8	1	S3	S4			
neighbor	0.5	S3	S9	1	S3	S4			
neighbor	0.5	S3	S10	1	S3	S4			
neighbor	0.5	S3	S11	1	S3	S4			
neighbor	0.5	S3	S12	1	S3	S4			
neighbor	0.5	S3	S13	1	S3	S4			
neighbor	0.5	S3	S14	1	S3	S4			
neighbor	0.5	S3	S15	1	S3	S4			
neighbor	0.5	S3	S16	1	S3	S4			
neighbor	0.5	S3	S17	1	S3	S4			
neighbor	0.5	S3	S18	1	S3	S4			
neighbor	0.5	S3	S19	1	S3	S4			
neighbor	0.5	S3	S20	1	S3	S4			
neighbor	0.5	S3	S21	1	S3	S4			
neighbor	0.5	S3	S22	1	S3	S4			
neighbor	0.5	S3	S23	1	S3	S4			
neighbor	0.5	S3	S24	1	S3	S4			
neighbor	0.5	S3	S25	1	S3	S4			
neighbor	0.5	S3	S26	1	S3	S4			
neighbor	0.5	S3	S27	1	S3	S4			
neighbor	0.5	S3	S28	1	S3	S4			
neighbor	0.5	S3	S29	1	S3	S4			
neighbor	0.5	S3	S30	1	S3	S4			
neighbor	0.5	S4	S6	1	S4	S5			
neighbor	0.5	S4	S7	1	S4	S5			
neighbor	0.5	S4	S8	1	S4	S5			
neighbor	0.5	S4	S9	1	S4	S5			
neighbor	0.5	S4	S10	1	S4	S5			
neighbor	0.5	S4	S11	1	S4	S5			
neighbor	0.5	S4	S12	1	S4	S5			
neighbor	0.5	S4	S13	1	S4	S5			
neighbor	0.5	S4	S14	1	S4	S5			
neighbor	0.5	S4	S15	1	S4	S5			
neighbor	0.5	S4	S16	1	S4	S5			
neighbor	0.5	S4	S17	1	S4	S5			
neighbor	0.5	S4	S18	1	S4	S5			
neighbor	0.5	S4	S19	1	S4	S5			
neighbor	0.5	S4	S20	1	S4	S5			
neighbor	0.5	S4	S21	1	S4	S5			
neighbor	0.5	S4	S22	1	S4	S5			
neighbor	0.5	S4	S23	1	S4	S5			
neighbor	0.5	S4	S24	1	S4	S5			
neighbor	0.5	S4	S25	1	S4	S5			
neighbor	0.5	S4	S26	1	S4	S5			
neighbor	0.5	S4	S27	1	S4	S5			
neighbor	0.5	S4	S28	1	S4	S5			
neighbor	0.5	S4	S29	1	S4	S5			
neighbor	0.5	S4	S30	1	S4	S5			
neighbor	0.5	S5	S7	1	S5	S6			
neighbor	0.5	S5	S8	1	S5	S6			
neighbor	0.5	S5	S9	1	S5	S6			
neighbor	0.5	S5	S10	1	S5	S6			
neighbor	0.5	S5	S11	1	S5	S6			
neighbor	0.5	S5	S12	1	S5	S6			
neighbor	0.5	S5	S13	1	S5	S6			
neighbor	0.5	S5	S14	1	S5	S6			
neighbor	0.5	S5	S15	1	S5	S6			
neighbor	0.5	S5	S16	1	S5	S6			
neighbor	0.5	S5	S17	1	S5	S6			
neighbor	0.5	S5	S18	1	S5	S6			
neighbor	0.5	S5	S19	1	S5	S6			
neighbor	0.5	S5	S20	1	S5	S6			
neighbor	0.5	S5	S21	1	S5	S6			
neighbor	0.5	S5	S22	1	S5	S6			
neighbor	0.5	S5	S23	1	S5	S6			
neighbor	0.5	S5	S24	1	S5	S6			
neighbor	0.5	S5	S25	1	S5	S6			
neighbor	0.5	S5	S26	1	S5	S6			
neighbor	0.5	S5	S27	1	S5	S6			
neighbor	0.5	S5	S28	1	S5	S6			
neighbor	0.5	S5	S29	1	S5	S6			
neighbor	0.5	S5	S30	1	S5	S6			
neighbor	0.5	S6	S8	1	S6	S7			
neighbor	0.5	S6	S9	1	S6	S7			
neighbor	0.5	S6	S10	1	S6	S7			
neighbor	0.5	S6	S11	1	S6	S7			
neighbor	0.5	S6	S12	1	S6	S7			
neighbor	0.5	S6	S13	1	S6	S7			
neighbor	0.5	S6	S14	1	S6	S7			
neighbor	0.5	S6	S15	1	S6	S7			
neighbor	0.5	S6	S16	1	S6	S7			
neighbor	0.5	S6	S17	1	S6	S7			
neighbor	0.5	S6	S18	1	S6	S7			
neighbor	0.5	S6	S19	1	S6	S7			
neighbor	0.5	S6	S20	1	S6	S7			
neighbor	0.5	S6	S21	1	S6	S7			
neighbor	0.5	S6	S22	1	S6	S7			
neighbor	0.5	S6	S23	1	S6	S7			
neighbor	0.5	S6	S24	1	S6	S7			
neighbor	0.5	S6	S25	1	S6	S7			
neighbor	0.5	S6	S26	1	S6	S7			
neighbor	0.5	S6	S27	1	S6	S7			
neighbor	0.5	S6	S28	1	S6	S7			
neighbor	0.5	S6	S29	1	S6	S7			
neighbor	0.5	S6	S30	1	S6	S7			
neighbor	0.5	S7	S9	1	S7	S8			
neighbor	0.5	S7	S10	1	S7	S8			
neighbor	0.5	S7	S11	1	S7	S8			
neighbor	0.5	S7	S12	1	S7	S8			
neighbor	0.5	S7	S13	1	S7	S8			
neighbor	0.5	S7	S14	1	S7	S8			
neighbor	0.5	S7	S15	1	S7	S8			
neighbor	0.5	S7	S16	1	S7	S8			
neighbor	0.5	S7	S17	1	S7	S8			
neighbor	0.5	S7	S18	1	S7	S8			
neighbor	0.5	S7	S19	1	S7	S8			
neighbor	0.5	S7	S20	1	S7	S8			
neighbor	0.5	S7	S21	1	S7	S8			
neighbor	0.5	S7	S22	1	S7	S8			
neighbor	0.5	S7	S23	1	S7	S8			
neighbor	0.5	S7	S24	1	S7	S8			
neighbor	0.5	S7	S25	1	S7	S8			
neighbor	0.5	S7	S26	1	S7	S8			
neighbor	0.5	S7	S27	1	S7	S8			
neighbor	0.5	S7	S28	1	S7	S8			
neighbor	0.5	S7	S29	1	S7	S8			
neighbor	0.5	S7	S30	1	S7	S8			
neighbor	0.5	S8	S10	1	S8	S9			
neighbor	0.5	S8	S11	1	S8	S9			
neighbor	0.5	S8	S12	1	S8	S9			
neighbor	0.5	S8	S13	1	S8	S9			
neighbor	0.5	S8	S14	1	S8	S9			
neighbor	0.5	S8	S15	1	S8	S9			
neighbor	0.5	S8	S16	1	S8	S9			
neighbor	0.5	S8	S17	1	S8	S9			
neighbor	0.5	S8	S18	1	S8	S9			
neighbor	0.5	S8	S19	1	S8	S9			
neighbor	0.5	S8	S20	1	S8	S9			
neighbor	0.5	S8	S21	1	S8	S9			
neighbor	0.5	S8	S22	1	S8	S9			
neighbor	0.5	S8	S23	1	S8	S9			
neighbor	0.5	S8	S24	1	S8	S9			
neighbor	0.5	S8	S25	1	S8	S9			
neighbor	0.5	S8	S26	1	S8	S9			
neighbor	0.5	S8	S27	1	S8	S9			
neighbor	0.5	S8	S28	1	S8	S9			
neighbor	0.5	S8	S29	1	S8	S9			
neighbor	0.5	S8	S30	1	S9	S10			
neighbor	0.5	S9	S11	1	S9	S10			
neighbor	0.5	S9	S12	1	S9	S10			
neighbor	0.5	S9	S13	1	S9	S10			
neighbor	0.5	S9	S14	1	S9	S10			
neighbor	0.5	S9	S15	1	S9	S10			
neighbor	0.5	S9	S16	1	S9	S10			
neighbor	0.5	S9	S17	1	S9	S10			
neighbor	0.5	S9	S18	1	S9	S10			
neighbor	0.5	S9	S19	1	S9	S10			
neighbor	0.5	S9	S20	1	S9	S10			
neighbor	0.5	S9	S21	1	S9	S10			
neighbor	0.5	S9	S22	1	S9	S10			
neighbor	0.5	S9	S23	1	S9	S10			
neighbor	0.5	S9	S24	1	S9	S10			
neighbor	0.5	S9	S25	1	S9	S10			
neighbor	0.5	S9	S26	1	S9	S10			
neighbor	0.5	S9	S27	1	S9	S10			
neighbor	0.5	S9	S28	1	S9	S10			
neighbor	0.5	S9	S29	1	S9	S10			
neighbor	0.5	S9	S30	1	S9	S10			
neighbor	0.5	S10	S12	1	S10	S11			
neighbor	0.5	S10	S13	1	S10	S11			
neighbor	0.5	S10	S14	1	S10	S11			
neighbor	0.5	S10	S15	1	S10	S11			
neighbor	0.5	S10	S16	1	S10	S11			
neighbor	0.5	S10	S17	1	S10	S11			
neighbor	0.5	S10	S18	1	S10	S11			
neighbor	0.5	S10	S19	1	S10	S11			
neighbor	0.5	S10	S20	1	S10	S11			
neighbor	0.5	S10	S21	1	S10	S11			
neighbor	0.5	S10	S22	1	S10	S11			
neighbor	0.5	S10	S23	1	S10	S11			
neighbor	0.5	S10	S24	1	S10	S11			
neighbor	0.5	S10	S25	1	S10	S11			
neighbor	0.5	S10	S26	1	S10	S11			
neighbor	0.5	S10	S27	1	S10	S11			
neighbor	0.5	S10	S28	1	S10	S11			
neighbor	0.5	S10	S29	1	S10	S11			
neighbor	0.5	S10	S30	1	S10	S11			
neighbor	0.5	S11	S13	1	S11	S12			
neighbor	0.5	S11	S14	1	S11	S12			
neighbor	0.5	S11	S15	1	S11	S12			
neighbor	0.5	S11	S16	1	S11	S12			
neighbor	0.5	S11	S17	1	S11	S12			
neighbor	0.5	S11	S18	1	S11	S12			
neighbor	0.5	S11	S19	1	S11	S12			
neighbor	0.5	S11	S20	1	S11	S12			
neighbor	0.5	S11	S21	1	S11	S12			
neighbor	0.5	S11	S22	1	S11	S12			
neighbor	0.5	S11	S23	1	S11	S12			
neighbor	0.5	S11	S24	1	S11	S12			
neighbor	0.5	S11	S25	1	S11	S12			
neighbor	0.5	S11	S26	1	S11	S12			
neighbor	0.5	S11	S27	1	S11	S12			
neighbor	0.5	S11	S28	1	S11	S12			
neighbor	0.5	S11	S29	1	S11	S12			
neighbor	0.5	S11	S30	1	S11	S12			
neighbor	0.5	S12	S14	1	S12	S13			
neighbor	0.5	S12	S15	1	S12	S13			
neighbor	0.5	S12	S16	1	S12	S13			
neighbor	0.5	S12	S17	1	S12	S13			
neighbor	0.5	S12	S18	1	S12	S13			
neighbor	0.5	S12	S19	1	S12	S13			
neighbor	0.5	S12	S20	1	S12	S13			
neighbor	0.5	S12	S21	1	S12	S13			
neighbor	0.5	S12	S22	1	S12	S13			
neighbor	0.5	S12	S23	1	S12	S13			
neighbor	0.5	S12	S24	1	S12	S13			
neighbor	0.5	S12	S25	1	S12	S13			
neighbor	0.5	S12	S26	1	S12	S13			
neighbor	0.5	S12	S27	1	S12	S13			
neighbor	0.5	S12	S28	1	S12	S13			
neighbor	0.5	S12	S29	1	S12	S13			
neighbor	0.5	S12	S30	1	S12	S13			
neighbor	0.5	S13	S15	1	S13	S14			
neighbor	0.5	S13	S16	1	S13	S14			
neighbor	0.5	S13	S17	1	S13	S14			
neighbor	0.5	S13	S18	1	S13	S14			
neighbor	0.5	S13	S19	1	S13	S14			
neighbor	0.5	S13	S20	1	S13	S14			
neighbor	0.5	S13	S21	1	S13	S14			
neighbor	0.5	S13	S22	1	S13	S14			
neighbor	0.5	S13	S23	1	S13	S14			
neighbor	0.5	S13	S24	1	S13	S14			
neighbor	0.5	S13	S25	1	S13	S14			
neighbor	0.5	S13	S26	1	S13	S14			
neighbor	0.5	S13	S27	1	S13	S14			
neighbor	0.5	S13	S28	1	S13	S14			
neighbor	0.5	S13	S29	1	S13	S14			
neighbor	0.5	S13	S30	1	S13	S14			
neighbor	0.5	S14	S16	1	S14	S15			
neighbor	0.5	S14	S17	1	S14	S15			
neighbor	0.5	S14	S18	1	S14	S15			
neighbor	0.5	S14	S19	1	S14	S15			
neighbor	0.5	S14	S20	1	S14	S15			
neighbor	0.5	S14	S21	1	S14	S15			
neighbor	0.5	S14	S22	1	S14	S15			
neighbor	0.5	S14	S23	1	S14	S15			
neighbor	0.5	S14	S24	1	S14	S15			
neighbor	0.5	S14	S25	1	S14	S15			
neighbor	0.5	S14	S26	1	S14	S15			
neighbor	0.5	S14	S27	1	S14	S15			
neighbor	0.5	S14	S28	1	S14	S15			
neighbor	0.5	S14	S29	1	S14	S15			
neighbor	0.5	S14	S30	1	S14	S15			
neighbor	0.5	S15	S17	1	S15	S16			
neighbor	0.5	S15	S18	1	S15	S16			
neighbor	0.5	S15	S19	1	S15	S16			
neighbor	0.5	S15	S20	1	S15	S16			
neighbor	0.5	S15	S21	1	S15	S16			
neighbor	0.5	S15	S22	1	S15	S16			
neighbor	0.5	S15	S23	1	S15	S16			
neighbor	0.5	S15	S24	1	S15	S16			
neighbor	0.5	S15	S25	1	S15	S16			
neighbor	0.5	S15	S26	1	S15	S16			
neighbor	0.5	S15	S27	1	S15	S16			
neighbor	0.5	S15	S28	1	S15	S16			
neighbor	0.5	S15	S29	1	S15	S16			
neighbor	0.5	S15	S30	1	S15	S16			
neighbor	0.5	S16	S18	1	S16	S17			
neighbor	0.5	S16	S19	1	S16	S17			
neighbor	0.5	S16	S20	1	S16	S17			
neighbor	0.5	S16	S21	1	S16	S17			
neighbor	0.5	S16	S22	1	S16	S17			
neighbor	0.5	S16	S23	1	S16	S17			
neighbor	0.5	S16	S24	1	S16	S17			
neighbor	0.5	S16	S25	1	S16	S17			
neighbor	0.5	S16	S26	1	S16	S17			
neighbor	0.5	S16	S27	1	S16	S17			
neighbor	0.5	S16	S28	1	S16	S17			
neighbor	0.5	S16	S29	1	S16	S17			
neighbor	0.5	S16	S30	1	S16	S17			
neighbor	0.5	S17	S19	1	S17	S18			
neighbor	0.5	S17	S20	1	S17	S18			
neighbor	0.5	S17	S21	1	S17	S18			
neighbor	0.5	S17	S22	1	S17	S18			
neighbor	0.5	S17	S23	1	S17	S18			
neighbor	0.5	S17	S24	1	S17	S18			
neighbor	0.5	S17	S25	1	S17	S18			
neighbor	0.5	S17	S26	1	S17	S18			
neighbor	0.5	S17	S27	1	S17	S18			
neighbor	0.5	S17	S28	1	S17	S18			
neighbor	0.5	S17	S29	1	S17	S18			
neighbor	0.5	S17	S30	1	S17	S18			
neighbor	0.5	S18	S20	1	S18	S19			
neighbor	0.5	S18	S21	1	S18	S19			
neighbor	0.5	S18	S22	1	S18	S19			
neighbor	0.5	S18	S23	1	S18	S19			
neighbor	0.5	S18	S24	1	S18	S19			
neighbor	0.5	S18	S25	1	S18	S19			
neighbor	0.5	S18	S26	1	S18	S19			
neighbor	0.5	S18	S27	1	S18	S19			
neighbor	0.5	S18	S28	1	S18	S19			
neighbor	0.5	S18	S29	1	S18	S19			
neighbor	0.5	S18	S30	1	S18	S19			
neighbor	0.5	S19	S21	1	S19	S20			
neighbor	0.5	S19	S22	1	S19	S20			
neighbor	0.5	S19	S23	1	S19	S20			
neighbor	0.5	S19	S24	1	S19	S20			
neighbor	0.5	S19	S25	1	S19	S20			
neighbor	0.5	S19	S26	1	S19	S20			
neighbor	0.5	S19	S27	1	S19	S20			
neighbor	0.5	S19	S28	1	S19	S20			
neighbor	0.5	S19	S29	1	S19	S20			
neighbor	0.5	S19	S30	1	S19	S20			
neighbor	0.5	S20	S22	1	S20	S21			
neighbor	0.5	S20	S23	1	S20	S21			
neighbor	0.5	S20	S24	1	S20	S21			
neighbor	0.5	S20	S25	1	S20	S21			
neighbor	0.5	S20	S26	1	S20	S21			
neighbor	0.5	S20	S27	1	S20	S21			
neighbor	0.5	S20	S28	1	S20	S21			
neighbor	0.5	S20	S29	1	S20	S21			
neighbor	0.5	S20	S30	1	S20	S21			
neighbor	0.5	S21	S23	1	S21	S22			
neighbor	0.5	S21	S24	1	S21	S22			
neighbor	0.5	S21	S25	1	S21	S22			
neighbor	0.5	S21	S26	1	S21	S22			
neighbor	0.5	S21	S27	1	S21	S22			
neighbor	0.5	S21	S28	1	S21	S22			
neighbor	0.5	S21	S29	1	S21	S22			
neighbor	0.5	S21	S30	1	S21	S22			
neighbor	0.5	S22	S24	1	S22	S23			
neighbor	0.5	S22	S25	1	S22	S23			
neighbor	0.5	S22	S26	1	S22	S23			
neighbor	0.5	S22	S27	1	S22	S23			
neighbor	0.5	S22	S28	1	S22	S23			
neighbor	0.5	S22	S29	1	S22	S23			
neighbor	0.5	S22	S30	1	S22	S23			
neighbor	0.5	S23	S25	1	S23	S24			
neighbor	0.5	S23	S26	1	S23	S24			
neighbor	0.5	S23	S27	1	S23	S24			
neighbor	0.5	S23	S28	1	S23	S24			
neighbor	0.5	S23	S29	1	S23	S24			
neighbor	0.5	S23	S30	1	S23	S24			
neighbor	0.5	S24	S26	1	S24	S25			
neighbor	0.5	S24	S27	1	S24	S25			
neighbor	0.5	S24	S28	1	S24	S25			
neighbor	0.5	S24	S29	1	S24	S25			
neighbor	0.5	S24	S30	1	S24	S25			
neighbor	0.5	S25	S27	1	S25	S26			
neighbor	0.5	S25	S28	1	S25	S26			
neighbor	0.5	S25	S29	1	S25	S26			
neighbor	0.5	S25	S30	1	S25	S26			
neighbor	0.5	S26	S28	1	S26	S27			
neighbor	0.5	S26	S29	1	S26	S27			
neighbor	0.5	S26	S30	1	S26	S27			
neighbor	0.5	S27	S29	1	S27	S28			
neighbor	0.5	S27	S30	1	S27	S28			
neighbor	0.5	S28	S30	1	S28	S29			
#For those too lazy to build a fighter									
element	laser	255	100	100	1	0	0	5	1
pexplosion	S30	laser	8	Lfallout					
pexplosion	S29	laser	8	Lfallout					
pexplosion	S28	laser	8	Lfallout					
pexplosion	S27	laser	8	Lfallout					
pexplosion	S26	laser	8	Lfallout					
pexplosion	S25	laser	8	Lfallout					
pexplosion	S24	laser	8	Lfallout					
pexplosion	S23	laser	8	Lfallout					
pexplosion	S22	laser	8	Lfallout					
pexplosion	S21	laser	8	Lfallout					
pexplosion	S20	laser	8	Lfallout					
pexplosion	S19	laser	8	Lfallout					
pexplosion	S18	laser	8	Lfallout					
pexplosion	S17	laser	8	Lfallout					
pexplosion	S16	laser	8	Lfallout					
pexplosion	S15	laser	8	Lfallout					
pexplosion	S14	laser	8	Lfallout					
pexplosion	S13	laser	8	Lfallout					
pexplosion	S12	laser	8	Lfallout					
pexplosion	S11	laser	8	Lfallout					
pexplosion	S10	laser	8	Lfallout					
pexplosion	S9	laser	8	Lfallout					
pexplosion	S8	laser	8	Lfallout					
pexplosion	S7	laser	8	Lfallout					
pexplosion	S6	laser	8	Lfallout					
pexplosion	S5	laser	8	Lfallout					
pexplosion	S4	laser	8	Lfallout					
pexplosion	S3	laser	8	Lfallout					
pexplosion	S2	laser	8	Lfallout					
pexplosion	S1	laser	8	Lfallout					
pexplosion	ShieldG	laser	16	Dshield					
element	Lfallout	255	255	100	0	0	0	6	0
self	0.2	Lfallout	0.5	Empty	0.5	Lfallout2			
element	Lfallout2	100	100	255	0	0	0	6	0
self	0.2	Lfallout2	0.5	Empty	0.5	Lfallout			
#Moves around, dropping lasers periodically									
element	fighter	200	200	200	0	0	0	1	1
neighbor	1	fighter	Empty	0.99	Empty	fighter	0.01	laser	fighter
element	Fallout	10	10	10	0	0	0	1	0
self	0.1	Fallout	1	Lfallout					
pexplosion	S30	Lfallout	16	Empty					
pexplosion	S29	Lfallout	16	Empty					
pexplosion	S28	Lfallout	16	Empty					
pexplosion	S27	Lfallout	16	Empty					
pexplosion	S26	Lfallout	16	Empty					
pexplosion	S25	Lfallout	16	Empty					
pexplosion	S24	Lfallout	16	Empty					
pexplosion	S23	Lfallout	16	Empty					
